5. Èþíü 2011 | 20:57:58 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 20:57:58 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 20:57:58 | 8 bad words have been loaded.
5. Èþíü 2011 | 20:57:58 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 20:57:58 | JunkBuster has been configurated.
5. Èþíü 2011 | 20:57:58 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 21:23:16 | Current JunkBuster configuration:
5. Èþíü 2011 | 21:23:16 | - WeaponHack = 1
5. Èþíü 2011 | 21:23:16 | - MoneyHack = 1
5. Èþíü 2011 | 21:23:16 | - Jetpack = 1
5. Èþíü 2011 | 21:23:16 | - HealthHack = 0
5. Èþíü 2011 | 21:23:16 | - ArmourHack = 0
5. Èþíü 2011 | 21:23:16 | - DriveBy = 1
5. Èþíü 2011 | 21:23:16 | - Spam = 1
5. Èþíü 2011 | 21:23:16 | - CommandSpam = 1
5. Èþíü 2011 | 21:23:16 | - BadWords = 1
5. Èþíü 2011 | 21:23:16 | - CarJackHack = 1
5. Èþíü 2011 | 21:23:16 | - TeleportHack = 1
5. Èþíü 2011 | 21:23:16 | - MaxPing = 500
5. Èþíü 2011 | 21:23:16 | - SpectateHack = 1
5. Èþíü 2011 | 21:23:16 | - Blacklist = 1
5. Èþíü 2011 | 21:23:16 | - IpBans = 1
5. Èþíü 2011 | 21:23:16 | - TempBans = 1
5. Èþíü 2011 | 21:23:16 | - SpawnKill = 0
5. Èþíü 2011 | 21:23:16 | - CapsLock = 0
5. Èþíü 2011 | 21:23:16 | - 3DSpeed = 0
5. Èþíü 2011 | 21:23:16 | - MaxSpeed = 0
5. Èþíü 2011 | 21:23:16 | - AdminImmunity = 1
5. Èþíü 2011 | 21:23:16 | - Advertisement = 0
5. Èþíü 2011 | 21:23:16 | - FreezeUpdate = 1
5. Èþíü 2011 | 21:23:16 | - SpawnTime = 10
5. Èþíü 2011 | 21:23:16 | - CheckpointTeleport = 1
5. Èþíü 2011 | 21:23:16 | - Airbreak = 1
5. Èþíü 2011 | 21:23:16 | - TankMode = 1
5. Èþíü 2011 | 21:23:16 | - WarnPlayers = 0
5. Èþíü 2011 | 21:23:16 | 0 IP-bans have been loaded.
5. Èþíü 2011 | 21:23:16 | 0 temporary bans have been loaded.
5. Èþíü 2011 | 21:23:16 | 1 whitelist entries have been loaded.
5. Èþíü 2011 | 21:23:16 | 0 blacklist entries have been loaded.
5. Èþíü 2011 | 21:23:16 | 8 bad words have been loaded.
5. Èþíü 2011 | 21:23:16 | 7 forbidden weapons have been loaded.
5. Èþíü 2011 | 21:23:16 | JunkBuster has been configurated.
5. Èþíü 2011 | 21:23:16 | JunkBuster óñïåøíî çàïóùåí!.
5. Èþíü 2011 | 21:37:21 | Current JunkBuster configuration:
5. Èþíü 2011 | 21:37:21 | - WeaponHack = 1
5. Èþíü 2011 | 21:37:21 | - MoneyHack = 1
5. Èþíü 2011 | 21:37:21 | - Jetpack = 1
